|morphs|origin
0|['일본', '에', '는', '웃', '으면서', '먹이', 'ㅁ']|일본에는 웃으면서 먹임
1|['일본', '특', ')', '겉', '으로', 'ㄴ', '친절', '하', '지만', '속', '을', '알', 'ㄹ', '수어', 'ㅄ', '다']|일본 특) 겉으론 친절하지만 속을 알수없다
2|['수', 'ㄱㅅ', 'ㅗ', '에서', '막', '타', '아', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ']|숙소에서 막타 ㅋㅋㅋㅋㅋㅋ
3|['여권', '도', '잃어버리', 'ㅁ', '?']|여권도 잃어버림?
4|['이번', '여행', '힘들', 'ㄴ', '일', '만', '있', '었', '네', 'ㅠ', 'ㅠ']|이번여행 힘든일만있었네 ㅠㅠ
5|['하', 'ㄹ', '수', '있', '는', '거', 'ㄴ', '다', '하', '았', '어', 'ㅋㅋ']|할 수 있는건 다 했어 ㅋㅋ
6|['그래서', '그', '방', '얼마', '이', 'ㅁ', '?', '?']|그래서 그 방 얼마임??
7|['여행가', '기전', '에', '잠도', '알', 'ㄴ', '작', 'ㅗ', '가니', '까', '그렇', '지']|여행가기전에 잠도 안자고 가니까 그렇지
8|['승', '이', '구', '는', '착하', '아']|승구는 착해
9|['이런', '여행', '이', '기억', '에', '남', '기', '는', '하', 'ㅁ']|이런여행이 기억에남기는함
10|['여권', '도', '안', '가져가', '앗', '냐', '?']|여권도 안가져갓냐?
11|['비서', '한', '명', '두', '시', '어야', '하', '겠', '네']|비서한명 두셔야겠네
12|['하', 'ㄹ', '만해']|할만해
13|['일본', '애', '들', '은', '친절', '하', 'ㄴ데', '그', '속', '을', '모르', '겠', '어서']|일본애들은 친절한데 그속을 모르겠어서
14|['자존', '감', '떡', '이', '락', 'ㅋㅋㅋ']|자존감 떡락 ㅋㅋㅋ
15|['자기혐오', '에바', 'ㄴ', '데']|자기혐오 에반데
16|['ㅇㅇ', '그것', 'ㄴ', '좀', '반성', '하', '아야', '되', 'ㅁ']|ㅇㅇ 그건 좀 반성해야됨
17|['그렇', 'ㄹ', '만', '하', '았', '다', '...']|그럴만 했다...
18|['이거', 'ㄹ', '하루', '에', '하', '았', '다고', '?']|이걸 하루에 했다고?
19|['그렇', 'ㄹ', '만', '하', 'ㅁ', '솔직히', '회초리', '좀', '맞', '아야', '되', 'ㅁ']|그럴만함 솔직히 회초리 좀 맞아야됨
20|['처음', '이', 'ㄴ데', '그렇', 'ㄹ', '수', '있', '죠', 'ㅋㅋ']|처음인데 그럴 수 있죠 ㅋㅋ
21|['님', '가격', '비싸', '게', '하', '아서', '말', '안', '하', '는', '거', '죠']|님 가격 비싸게 해서 말 안하는거죠
22|['하', '시', 'ㄹ', '만', '하', 'ㅁ', 'ㅠ', 'ㅠ', 'ㅠ']|하실만 함 ㅠㅠㅠ
23|['그렇', 'ㄹ', '만', '하', '지']|그럴만 하지
24|['첫', '여행', '이', '라', '그러', '어요']|첫여행이라그래요
25|['멘탈', '바', '사사', 'ㄱ', 'ㅋㅋㅋㅋㅋ']|멘탈 바사삭 ㅋㅋㅋㅋㅋ
26|['역대', '급', '흑우', '이', 'ㄴ데', 'ㅋㅋㅋㅋㅋ']|역대급 흑우인데 ㅋㅋㅋㅋㅋ
27|['반성', '은', '하', '아야', '하', 'ㅁ']|반성은 해야함
