|morphs|origin
0|['소', 'ㅇ']|송
1|['켜', '어']|켜
2|['방', '소', 'ㅇ', '켜', '어', 'ㄱ', 'ㅗ', 'ㅇ', '혀', 'ㄱ', '주', 'ㄴ']|방 송 켜 공 혁 준
3|['방', '소', 'ㅇ', '켜', '어', 'ㄱ', 'ㅗ', 'ㅇ', '허', '충']|방 송 켜 공 허 충
4|['혀', 'ㄱ', '주', 'ㄴ', '아', '여자', '랑', '있', '는', '거냐']|혁준아 여자랑 있는거냐
5|['혀', 'ㄱ', '주', 'ㄴ', '아', '나', '미치', '는', 'ㄲ', 'ㅗ', 'ㄹ', '보', '고', '싶', '어', '?']|혁준아 나 미치는꼴 보고싶어?
6|['얼른', '방송', '켜', '어', '.', '.']|얼른 방송켜..
7|['아니', '잖아', '.', '.', '그', '하', '지', '?']|아니잖아..그치?
8|['ㄱ', 'ㅗ', 'ㅇ', '하']|공하
9|['말', '아', '젖', '하', 'ㅁ', '씨', '게', '잡', '아', '바르', '아']|마 젖 함 씨게 잡아바라
10|['혀', 'ㄱ', '주', 'ㄴ', '이형', '하이']|혁준이형 하이
11|['오', '아', '!', 'ㄱ', 'ㅗ', 'ㅇ', '혀', 'ㄱ', '주', 'ㄴ', '!', '크리스마스', '!']|와! 공혁준! 크리스마스!
12|['혀', 'ㄱ', '하']|혁하
13|['혀', 'ㄱ', '주', 'ㄴ', '이', '하이']|혁준이 하이
14|['혀', 'ㄱ', '하', 'ㅋㅋㅋ']|혁하 ㅋㅋㅋ
15|['혀', 'ㄱ', '하', '~', '~']|혁하~~
16|['아', '혀', 'ㄱ', '하']|아 혁하
17|['산타', '거', 'ㄹ']|산타걸
18|['이', '야', '오전', '생방', '혀', 'ㄱ', '주', 'ㄴ', '상', '보', '고', '나가', 'ㄹ', '수', '있', '겠', '네']|이야 오전생방 혁준상 보고 나갈수 있겠네
19|['혀', 'ㄱ', '크리', '마스']|혁크리마스
20|['산타', '거', 'ㄹ', '손브라', '오늘', '하', 'ㅂ니까', '?']|산타걸 손브라 오늘합니까?
21|['혀', 'ㄱ', '주', 'ㄴ', '아', '메리', '크리스마스', 'ㅠ']|혁준아 메리크리스마스 ㅠ
22|['방송', '켜', '었', '다고', '달려오는거보솤ㅋㅋㅋㅋㅋㅋ']|방송켰다고 달려오는거보솤ㅋㅋㅋㅋㅋㅋ
23|['ㄱ', 'ㅗ', 'ㅇ', '하', '~']|공하~
24|['크리스마스', '에', '방송', '하', '기', '는', '스트리머가', '있', '다', '!', '?', '!', '?']|크리스마스에 방송키는 스트리머가 있다!?!?
